flight
14
15
13
4
11
8
5
10
5
11
11
7
13
15
7
10
4
9
9
9
10
8
13
11
20
14
23
12
17
11
14
12
6
7
7
8
20
16
11
15
8
11
17
12
11
5
11
16
21
16
18
13
13
10
14
14
13
11
11
14
20
20
15
17
15
16
20
12
13
14
14
16
19
22
22
15
17
18
20
19
14
16
19
14
26
20
22
18
20
22
24
18
16
15
18
22
32
28
31
24
29
26
29
25
18
17
20
26
33
31
37
29
29
31
36
33
27
28
25
32
48
46
41
42
42
41
44
38
33
31
34
42
62
49
61
49
55
48
54
41
28
34
37
45
64
55
55
47
42
52
47
42
34
37
42
44
54
55
61
49
50
52
54
40
37
38
37
44
